Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 160
Z Slope: 0.891
Z Phase: -10.6
CI: 3.519
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:50:29        20       60     50.0     0.00      115    0.68     175       0.2      3.92       32       11       33      0.0    24.0    33.8    34.1    33.9    35.8    35.6    35.7    35.8       8       56       35  11.382
08:50:30        20       60     50.0     1.00      108   13.25    3941      50.1     76.20      673      239      671     12.1    23.4    40.3    40.9    41.8    46.2    45.7    44.2    46.2       8       56       35  11.223
08:50:31        20       60     50.0     2.00      111   13.37    3897      50.1     77.67      675      238      674     17.2    25.4    40.0    40.8    41.1    49.3    47.8    45.9    49.3       8       56       35  11.208
08:50:32        20       60     50.0     3.00      111   13.28    3936      50.2     76.72      686      243      693     17.4    27.8    41.0    42.0    41.9    48.5    49.6    47.4    49.6       8       57       35  11.514
08:50:33        20       60     50.0     4.00      108   13.26    3933      50.1     77.03      680      238      678     17.0    26.2    41.0    42.4    41.5    48.3    52.1    47.8    52.1       8       57       35  11.975
08:50:34        20       60     50.0     5.00      109   13.27    3950      50.2     76.37      679      257      677     14.5    25.5    41.2    42.3    41.8    47.6    48.7    46.2    48.7       8       57       35  12.439
08:50:35        20       60     50.0     6.00      107   13.31    3892      49.8     77.35      675      235      667     17.3    26.8    41.3    42.1    42.3    50.6    47.8    48.8    50.6       8       57       35  12.908
08:50:36        20       60     50.0     7.00      109   13.28    3924      50.0     76.29      680      241      668     15.5    25.5    41.8    42.4    42.9    53.1    49.4    49.4    53.1       8       57       35  13.367
08:50:37        20       60     50.0     8.00      108   13.30    3909      49.9     77.34      675      226      673     17.2    25.5    41.6    42.8    42.4    50.6    50.9    50.6    51.0       8       57       35  13.829
08:50:38        20       60     50.0     9.00      108   13.09    4014      50.1     75.09      697      242      689     16.7    25.9    42.5    43.2    44.0    51.2    52.0    50.9    52.0       8       57       35  13.880
08:50:39        20       60     50.0    10.00      107   13.16    3995      50.2     76.48      689      252      667     17.6    27.9    41.7    43.2    42.9    49.6    52.9    49.3    52.9       8       58       35  13.884
