Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2005	22.476	1.73119	122.748	
2	2005	14.2	-3.34686	120.357	
1	2005	37.6181	15.2186	124.005	
2	2005	36.0853	13.9457	124.001	
3	2005	31.8606	9.72828	124.021	
4	2005	30.5239	8.25719	123.993	
1	2005	33.6602	17.7548	125.841	
2	2005	32.6706	16.0265	125.79	
3	2005	30.1467	10.6337	125.376	
4	2005	29.3478	8.85029	125.145	
1	2005	34.9493	15.1417	127.309	
2	2005	33.6892	13.8833	127.824	
3	2005	30.6511	9.45721	127.221	
4	2005	29.7684	7.85992	126.465	
1	2005	41.9147	4.25096	124.089	
2	2005	39.929	4.15717	124.231	
3	2005	33.9717	4.39644	124.566	
4	2005	32.0129	4.51508	124.606	
1	2005	41.9247	4.20335	123.125	
2	2005	39.9323	4.31299	123.248	
3	2005	33.9688	4.80362	123.652	
4	2005	32.0116	4.9104	123.743	

