             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
                1352                   0                   1              38.064             -27.832             116.600              46.067              11.331              33.625              29.375             150.216              41.261             522.000             463.919                   1                   
                1352                   0                   2              34.311             -32.251             114.949               3.033               5.872              28.375              25.500          -10000.000          -10000.000              18.000             158.202                   1                   
                1353                   0                   3             -35.925             -37.975             127.214              23.667              11.068              29.500              35.625             158.442              15.647             262.000             341.079                   1                   
                1354                   0                   4             -35.983             -34.905             131.653              24.450              15.856              26.000              36.125             147.685              16.172             388.000             499.533                   1                   
                1354                   0                   5             -32.369             -35.958             131.846               8.683              22.972              24.500              36.250             130.949               8.551             199.000             374.394                   1                   
                1354                   0                   6             -32.287             -31.215             128.998               6.300               6.218              24.000              36.000          -10000.000          -10000.000              39.000             253.349                   1                   
                1354                   0                   7             -36.721             -31.274             127.279               3.033              16.069              23.625              35.625          -10000.000          -10000.000              49.000             239.919                   1                   
                1354                   0                   8             -38.519             -33.606             123.506              10.217              21.980              24.250              35.875             134.243              -2.848             225.000             401.819                   1                   
                1354                   0                   9             -38.519             -33.017             123.092               3.983              24.243              23.500              35.875          -10000.000          -10000.000              97.000             287.659                   1                   
                1354                   0                  10             -38.379             -33.085             125.783               3.550              26.825              23.750              35.625          -10000.000          -10000.000              95.000             287.164                   1                   
                1354                   0                  11             -34.889             -38.800             121.448              10.217              27.625              23.500              36.375             147.405              14.697             282.000             417.685                   1                   
                1354                   0                  12             -36.440             -30.616             118.806              11.367              15.275              23.875              36.000             134.615               5.187             174.000             380.003                   1                   
                1354                   0                  13             -36.995             -29.356             119.643               4.600              13.565              23.500              35.500          -10000.000          -10000.000              62.000             269.646                   1                   
                1354                   0                  14             -35.251             -32.817             115.875               8.767              23.937              23.125              36.250             137.799               8.590             210.000             388.707                   1                   
                1354                   0                  15             -33.056             -38.684             119.056               9.667              31.699              23.000              36.125             131.569              -6.654             306.000             425.322                   1                   
                1354                   0                  16             -31.750             -39.028             124.153              10.850              29.780              23.000              36.000             137.154              10.950             323.000             432.343                   1                   
                1354                   0                  17             -29.865             -36.616             130.594               9.767              25.551              23.750              35.875             124.031               6.975             250.000             405.488                   1                   
                1354                   0                  18             -29.834             -31.384             134.565              11.717               8.107              23.250              35.875             131.105               4.948              95.000             326.052                   1                   
                1354                   0                  19             -28.459             -36.898             133.088               8.017              30.780              23.375              35.875             123.768               5.090             247.000             395.731                   1                   
                1354                   0                  20             -27.753             -37.520             128.620               8.283              20.721              23.500              36.125             139.479              26.759             172.000             360.204                   1                   
                1354                   0                  21             -26.375             -37.445             128.456               9.917              14.743              23.125              36.000             119.566              -4.029             146.000             354.570                   1                   
                1354                   0                  22             -25.413             -37.309             127.271               8.517              11.163              23.125              36.125             120.660               1.243              95.000             311.175                   1                   
                1354                   0                  23             -23.485             -37.367             131.079               9.300              13.872              23.375              35.875             117.933               5.277             129.000             343.769                   1                   
                1354                   0                  24             -24.396             -38.734             124.623               5.200               9.523              23.000              35.875          -10000.000          -10000.000              50.000             261.436                   1                   
                1354                   0                  25             -24.947             -40.123             122.910               8.267               9.174              22.875              36.000             132.463              16.660              76.000             312.474                   1                   
                1354                   0                  26             -25.680             -40.086             125.314               8.567              15.426              23.250              35.875             117.426               2.306             132.000             340.103                   1                   
                1355                   0                  27             -25.227             -28.309             138.850               8.983              11.208              24.125              35.875             142.667              18.574             101.000             316.891                   1                   
                1355                   0                  28             -25.310             -31.326             136.330              19.583               9.164              23.375              36.000             128.156              13.570             179.000             409.677                   1                   
                1355                   0                  29             -30.301             -28.564             136.316               3.767               8.064              23.000              36.000          -10000.000          -10000.000              30.000             222.418                   1                   
                1355                   0                  30             -27.473             -26.233             140.249               3.850              21.796              23.125              35.750          -10000.000          -10000.000              84.000             280.538                   1                   
                1355                   0                  31             -30.219             -26.659             139.025               3.883              20.435              23.000              35.750          -10000.000          -10000.000              79.000             277.758                   1                   
                1355                   0                  32             -19.984             -26.629             141.881               3.450              23.674              23.000              36.125          -10000.000          -10000.000              82.000             273.967                   1                   
                1355                   0                  33             -27.729             -31.757             132.757               5.217              13.575              23.250              36.000             132.487              17.341              71.000             269.175                   1                   
                1355                   0                  34             -23.578             -31.959             135.094              15.533               8.689              23.250              36.125             123.937              14.101             135.000             367.907                   1                   
                1355                   0                  35             -26.815             -28.530             137.113               5.683              10.801              22.875              35.875          -10000.000          -10000.000              61.000             278.877                   1                   
                1355                   0                  36             -25.245             -27.750             138.375               6.767              17.783              23.500              35.750             138.080              23.116             120.000             326.894                   1                   
                1355                   0                  37             -31.048             -30.574             132.961              14.300              16.606              23.500              36.125             130.160              13.932             237.000             422.801                   1                   
                1356                   0                  38              22.998             -14.417             119.854               9.333              12.531              26.625              36.000             135.863              13.323             117.000             339.933                   1                   
                1356                   0                  39              20.923             -13.578             125.243               3.167               6.813              23.500              35.500          -10000.000          -10000.000              22.000             203.652                   1                   
                1356                   0                  40              19.493             -10.732             120.582               7.450               7.251              23.250              36.125             130.827               5.756              54.000             273.221                   1                   
                1356                   0                  41              21.975             -10.334             118.396               6.000               6.182              23.500              35.750          -10000.000          -10000.000              37.000             250.468                   1                   
                1356                   0                  42              21.153             -12.305             116.071              11.300              13.793              23.625              36.375             122.661               9.299             156.000             369.738                   1                   
                1356                   0                  43              19.681              -8.290             121.360              25.450               8.933              23.250              36.000             127.809              12.644             227.000             442.076                   1                   
                1356                   0                  44              20.616             -11.262             116.756              13.900              14.100              23.250              35.875             121.623              11.629             196.000             402.119                   1                   
                1356                   0                  45              23.231             -16.523             119.026               5.133              13.849              23.250              35.750             112.427             -14.848              71.000             270.350                   1                   
                1356                   0                  46              17.682             -18.506             112.503               7.417              10.839              23.000              35.625             129.114              11.145              80.000             297.044                   1                   
                1356                   0                  47              20.802             -17.626             113.313               3.133              13.883              23.000              35.750          -10000.000          -10000.000              43.000             234.361                   1                   
                1356                   0                  48              26.748             -22.422             114.684              17.667               7.062              23.125              35.875             130.182               5.232             125.000             375.308                   1                   
                1356                   0                  49              24.039             -19.284             116.923               4.083              14.449              22.875              35.625          -10000.000          -10000.000              59.000             261.790                   1                   
                1356                   0                  50              24.797             -18.869             117.112               5.417              10.736              23.125              35.625          -10000.000          -10000.000              58.000             271.241                   1                   
                1356                   0                  51              25.163             -22.588             114.904               6.883              13.997              23.125              35.750             125.555               3.423              96.000             310.422                   1                   
                1356                   0                  52              20.602             -27.473             112.592               5.350              25.128              23.375              35.750          -10000.000          -10000.000             134.000             329.812                   1                   
                1356                   0                  53              18.757             -30.048             112.259              16.183              26.898              23.000              35.875             124.975               4.207             435.000             476.947                   1                   
                1356                   0                  54              21.520             -26.733             113.671              17.650              23.993              23.250              36.000             128.206              13.019             423.000             494.206                   1                   
                1356                   0                  55              16.853             -22.355             112.699               3.933              32.526              22.750              35.750          -10000.000          -10000.000             128.000             311.498                   1                   
                1357                   0                  56              13.500               5.216             130.821              27.967              14.872              28.625              37.625             146.170              26.274             416.000             507.682                   1                   
                1358                   0                  57              21.847               4.047             132.319              14.700              12.823              27.000              36.125             134.491              18.056             188.000             399.783                   1                   
                1358                   0                  58              18.008               1.081             131.534              22.367              18.294              23.625              36.125             121.000               7.149             409.000             498.341                   1                   
                1359                   0                  59              20.201              -2.861             129.546              27.917              18.143              26.500              36.000             126.482              11.585             506.000             541.469                   1                   
                1360                   0                  60              21.466              -3.764             127.678              29.717              16.064              25.875              35.875             125.436              10.314             477.000             536.959                   1                   
                1361                   0                  61              21.555              -6.238             124.697              33.267              12.431              30.625              36.125             124.976               8.001             414.000             523.564                   1                   
                1362                   0                  62               4.226              -2.636             125.953               3.350              13.368              30.625              35.625          -10000.000          -10000.000              45.000             230.821                   1                   
                1362                   0                  63               3.436              -1.261             124.391              25.450              16.142              25.125              36.375             136.356               9.987             411.000             507.506                   1                   
                1363                   0                  64               8.907              -0.877             128.006              34.267              13.596              29.750              36.250             144.753              24.509             466.000             541.425                   1                   
                1364                   0                  65              12.485               1.948             127.686              34.667              24.586              31.000              36.000             142.582              26.116             852.000             626.088                   1                   
                1365                   0                  66               1.945              -8.387             107.496              15.217              22.501              31.125              25.625             140.214              16.694             342.000             379.058                   1                   
                1366                   0                  67             -16.980             -14.460             110.245              20.567              15.381              31.375              25.625             136.146               8.002             316.000             383.807                   1                   
                1367                   0                  68             -22.304             -19.247             138.851              22.900              14.002              31.750              36.000             145.175              21.232             321.000             465.583                   1                   
                1367                   0                  69             -19.001             -19.048             139.473               7.417              13.752              24.750              35.875             130.809               7.622             102.000             317.630                   1                   
                1368                   0                  70             -22.698             -21.672             137.112              36.667              12.096              28.125              36.000             121.392              10.450             444.000             537.173                   1                   
                1369                   0                  71             -23.946             -25.188             139.008              23.817              23.025              31.125              36.000             117.460               9.564             548.000             542.696                   1                   
                1370                   0                  72               1.775              -4.244             113.141              22.367              12.719              31.250              27.375             138.831              13.999             284.000             378.826                   1                   
                1371                   0                  73             -18.107             -16.824             107.006               9.417              28.713              31.375              25.625             134.686               9.938             270.000             336.517                   1                   
                1371                   0                  74             -16.295             -18.213             107.844               5.250              18.758              27.125              25.625          -10000.000          -10000.000              98.000             244.837                   1                   
                1372                   0                  75              14.159             -30.876             112.414              22.567              11.880              31.625              25.875             123.928              11.432             268.000             373.175                   1                   
                1373                   0                  76             -20.209             -27.206             106.495              19.417               9.709              32.000              26.000             130.897               7.381             189.000             337.545                   1                   
                1374                   0                  77             -22.644             -12.364             132.720              34.217              18.026              31.875              36.375             148.480              24.288             617.000             553.125                   1                   
                1375                   0                  78             -21.402             -15.920             135.703              28.517              17.383              31.375              36.750             138.214              18.501             496.000             536.070                   1                   
                1376                   0                  79             -19.327             -12.523             122.158              21.017              12.955              31.500              26.000             132.766               5.904             272.000             369.415                   1                   
                1377                   0                  80               8.995             -24.280             108.802              24.600              11.521              31.375              25.625             122.574               9.279             283.000             384.342                   1                   
                1377                   0                  81              12.728             -26.118             113.800               3.983              16.256              27.000              25.750          -10000.000          -10000.000              65.000             217.869                   1                   
                1378                   0                  82              10.754             -28.959             111.043              18.050              15.648              30.750              25.875             117.919               6.803             282.000             369.451                   1                   
                1379                   0                  83             -19.156             -21.479             106.630              15.867               6.898              31.250              25.625             132.299               9.010             109.000             290.695                   1                   
                1380                   0                  84               3.651             -12.796             108.499              19.967              13.914              31.250              25.750             128.055              12.386             278.000             371.654                   1                   
                1381                   0                  85              -1.171              -7.656             111.424              17.067              17.674              31.125              25.875             133.906              15.001             302.000             373.776                   1                   
                1382                   0                  86             -23.351             -12.754             126.244              22.867              12.524              31.125              25.625             136.290              10.904             286.000             376.092                   1                   
                1383                   0                  87             -24.673             -12.898             129.076              29.067               7.972              31.375              25.750             140.268              15.515             232.000             376.789                   1                   
                1384                   0                  88             -29.215             -33.326             112.903              44.267               9.358              32.125              36.625             130.010              16.835             414.000             534.163                   1                   
                1385                   0                  89             -27.218             -34.062             109.316              24.317              22.719              31.375              35.875             127.800              12.628             552.000             543.249                   1                   
                1386                   0                  90             -22.529             -32.416             107.784               5.267              13.779              30.500              35.750             126.707               7.712              73.000             279.442                   1                   
                1388                   0                  91             -24.005             -30.348             105.512              20.467              22.559              31.500              35.875             128.232              14.467             462.000             513.368                   1                   
                1389                   0                  92             -29.895             -33.470             116.560              23.217              19.907              31.875              36.000             120.042              11.090             462.000             517.310                   1                   
                1390                   0                  93               5.059             -20.355             106.484              16.917              21.190              31.625              25.750             123.318              10.707             358.000             388.103                   1                   
                1391                   0                  94               2.213              -3.292             121.509              28.217               8.374              31.875              25.750             132.882              14.306             236.000             371.656                   1                   
                1392                   0                  95             -18.557             -12.293             118.115              19.967              16.101              31.750              25.750             133.866              11.219             321.000             382.123                   1                   
                1393                   0                  96               3.777             -16.484             108.404              21.117              14.913              31.500              26.125             127.996              16.942             315.000             386.826                   1                   
                1394                   0                  97             -19.753             -13.787             114.506              20.317              10.877              31.625              25.750             131.525              10.949             221.000             355.638                   1                   
                1395                   0                  98               2.017              -5.216             117.590              22.067              12.656              31.500              25.750             128.427              11.746             279.000             373.340                   1                   
                1396                   0                  99              -4.168              -6.658             120.802              20.000              12.193              31.625              36.000             131.157              12.866             244.000             427.642                   1                   
                1396                   0                 100              -4.739              -7.551             121.718              13.767              10.680              24.500              35.875             126.295               9.154             147.000             375.288                   1                   
                1396                   0                 101              -0.346              -4.832             123.856              17.033              12.392              24.625              35.875             120.623               6.326             211.000             414.573                   1                   
                1396                   0                 102              -6.348              -7.587             123.116               5.083              14.258              24.000              35.625             114.517              -5.777              72.000             277.709                   1                   
                1396                   0                 103              -6.294              -7.975             123.891               4.633              19.369              23.875              36.250          -10000.000          -10000.000              90.000             290.332                   1                   
                1396                   0                 104              -8.898             -12.729             115.353               3.017               8.446              23.875              36.125          -10000.000          -10000.000              25.000             211.738                   1                   
                1396                   0                 105             -14.338             -15.408             114.298               3.850               8.001              23.750              36.000          -10000.000          -10000.000              31.000             224.966                   1                   
                1396                   0                 106             -20.135             -13.819             121.161               3.117               7.072              23.750              35.625          -10000.000          -10000.000              22.000             208.032                   1                   
                1397                   0                 107              -6.357              -8.619             120.832              27.350              14.554              28.750              36.125             127.662              10.078             398.000             506.603                   1                   
                1397                   0                 108             -11.804             -10.900             119.008              19.867              19.709              23.250              36.125             120.642               3.691             392.000             484.379                   1                   
                1397                   0                 109             -14.639             -14.437             120.447               4.233              13.303              23.000              35.875          -10000.000          -10000.000              56.000             253.513                   1                   
                1397                   0                 110             -13.623             -11.824             122.071              12.083              17.579              23.000              35.875             122.937               6.220             212.000             409.581                   1                   
                1397                   0                 111             -13.772             -14.647             123.453               3.750              14.285              22.875              35.875          -10000.000          -10000.000              54.000             249.429                   1                   
                1397                   0                 112             -10.697             -11.911             124.638               3.600               5.800              22.875              35.875          -10000.000          -10000.000              21.000             210.452                   1                   
                1397                   0                 113              -7.805              -9.374             124.272              19.033              11.201              22.875              36.500             121.714               2.951             213.000             422.547                   1                   
                1397                   0                 114              -2.448              -6.264             124.451              14.000              13.928              22.750              36.375             118.518               4.847             195.000             394.028                   1                   
                1398                   0                 115               8.723             -33.234             141.412               5.033              11.482              23.375              35.750          -10000.000          -10000.000              58.000             267.991                   1                   
                1398                   0                 116               6.550             -27.980             142.301              14.400              15.392              23.375              36.000             119.316               2.570             222.000             413.276                   1                   
                1398                   0                 117               3.349             -32.483             143.018              14.950              17.325              22.750              36.000             116.012               0.133             259.000             429.006                   1                   
